127.0.0.1 - - [29/Jan/2026 23:47:45] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [29/Jan/2026 23:47:52] "GET /company.html HTTP/1.1" 200 -
127.0.0.1 - - [29/Jan/2026 23:47:52] "GET /privacy.html HTTP/1.1" 200 -
127.0.0.1 - - [29/Jan/2026 23:47:52] "GET /index.html HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:47:58] "GET / HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:47:59] "GET /images/ai_measure_phone.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:47:59] "GET /images/RELIGHT_icon.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:47:59] "GET /images/laurel_wreath_transparent.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:47:59] "GET /images/hero_bg.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:47:59] "GET /images/image_editing_interface_tshirt.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:47:59] "GET /images/feature_background_removal.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:47:59] "GET /images/feature_auto_measure_mobile.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:47:59] "GET /images/ai_model_white_shirt.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:48:16] "GET /privacy.html HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:48:17] "GET /company.html HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:48:17] code 404, message File not found
10.64.14.246 - - [29/Jan/2026 23:48:17] "GET /favicon.ico HTTP/1.1" 404 -
10.64.14.246 - - [29/Jan/2026 23:48:18] code 404, message File not found
10.64.14.246 - - [29/Jan/2026 23:48:18] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [29/Jan/2026 23:48:29] "GET /company.html HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:02] "GET / HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:02] "GET /images/RELIGHT_icon.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:02] "GET /images/ai_measure_phone.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:03] "GET /images/feature_background_removal.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:03] "GET /images/feature_auto_measure_mobile.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:03] "GET /images/image_editing_interface_tshirt.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:03] "GET /images/ai_model_white_shirt.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:04] "GET /images/laurel_wreath_transparent.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:04] "GET /images/hero_bg.png HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:52:13] "GET /company.html HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:55:24] "GET /contact.html HTTP/1.1" 200 -
10.64.14.246 - - [29/Jan/2026 23:55:27] "GET /privacy.html HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:32] "GET / HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:32] "GET /images/ai_measure_phone.png HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:32] "GET /images/RELIGHT_icon.png HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:32] "GET /images/laurel_wreath_transparent.png HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:32] "GET /images/hero_bg.png HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:32] "GET /images/feature_background_removal.png HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:32] "GET /images/feature_auto_measure_mobile.png HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:33] "GET /images/image_editing_interface_tshirt.png HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:33] "GET /images/ai_model_white_shirt.png HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:34] "GET /images/RELIGHT_icon.png HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:45] "GET /company.html HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:52:46] code 404, message File not found
10.64.8.0 - - [30/Jan/2026 13:52:46] "GET /favicon.ico HTTP/1.1" 404 -
10.64.8.0 - - [30/Jan/2026 13:56:23] "GET /index.html HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 13:56:51] "GET /privacy.html HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 14:35:36] code 404, message File not found
10.64.8.0 - - [30/Jan/2026 14:35:36] "GET /favicon.ico HTTP/1.1" 404 -
10.64.8.0 - - [30/Jan/2026 15:00:56] "GET /privacy.html HTTP/1.1" 200 -
10.64.8.0 - - [30/Jan/2026 15:00:56] code 404, message File not found
10.64.8.0 - - [30/Jan/2026 15:00:56] "GET /favicon.ico HTTP/1.1" 404 -
